"date";"pronostico";"Unidades"
"585";2013-08-07;26.808;23
"586";2013-08-08;1249.057;836
"587";2013-08-09;1363.907;1133
"588";2013-08-10;402.134;504
"589";2013-08-11;7.905;1
"590";2013-08-12;888.157;1036
"591";2013-08-13;1166.943;1361
"592";2013-08-14;1333.436;1401
"593";2013-08-15;1293.069;1314
"594";2013-08-16;1337.442;1200
"595";2013-08-17;394.215;299
"596";2013-08-18;7.483;0
"597";2013-08-19;19.313;0
"598";2013-08-20;1252.716;755
"599";2013-08-21;1248.753;1064
"600";2013-08-22;1331.206;1015
"601";2013-08-23;1456.851;1283
"602";2013-08-24;376.69;300
"603";2013-08-25;8.81;0
"604";2013-08-26;1026.268;828
"605";2013-08-27;1311.68;883
"606";2013-08-28;1648.216;1209
"607";2013-08-29;1973.335;1148
"608";2013-08-30;2320.349;1265
"609";2013-08-31;526.47;431
"610";2013-09-01;5.787;0
"611";2013-09-02;629.857;742
"612";2013-09-03;929.96;907
"613";2013-09-04;1111.265;1075
"614";2013-09-05;1147.919;1152
"615";2013-09-06;1272.112;1087
"616";2013-09-07;376.836;310
"617";2013-09-08;7.605;0
"618";2013-09-09;899.734;878
"619";2013-09-10;1156.958;1275
"620";2013-09-11;1269.838;1284
"621";2013-09-12;1286.128;1249
"622";2013-09-13;1415.944;1227
"623";2013-09-14;403.788;303
"624";2013-09-15;7.873;6
"625";2013-09-16;882.275;912
"626";2013-09-17;1134.175;1124
"627";2013-09-18;1202.153;1225
"628";2013-09-19;1298.199;1233
"629";2013-09-20;1520.02;1143
"630";2013-09-21;378.144;300
"631";2013-09-22;8.105;0
"632";2013-09-23;961.047;851
"633";2013-09-24;1083.753;1121
"634";2013-09-25;1415.289;1276
"635";2013-09-26;1486.125;1388
"636";2013-09-27;1591.566;1307
"637";2013-09-28;499.108;376
"638";2013-09-29;12.014;0
"639";2013-09-30;1530.673;1099
"640";2013-10-01;774.738;1093
"641";2013-10-02;853.248;749
"642";2013-10-03;1030.989;1235
"643";2013-10-04;1123.598;1340
"644";2013-10-05;325.185;338
"645";2013-10-06;7.077;0
"646";2013-10-07;830.031;983
"647";2013-10-08;1018.002;1252
"648";2013-10-09;1218.843;1292
"649";2013-10-10;1282.648;1358
"650";2013-10-11;1283.931;1283
"651";2013-10-12;364.338;288
"652";2013-10-13;7.877;0
"653";2013-10-14;19.16;0
"654";2013-10-15;1053.873;651
"655";2013-10-16;1195.192;1070
"656";2013-10-17;1257.389;1161
"657";2013-10-18;1215.495;1124
"658";2013-10-19;367.757;299
"659";2013-10-20;8.456;0
"660";2013-10-21;832.911;853
"661";2013-10-22;1084.955;995
"662";2013-10-23;1301.901;1115
"663";2013-10-24;1201.489;1237
"664";2013-10-25;1430.996;1180
"665";2013-10-26;420.994;277
"666";2013-10-27;8.854;0
"667";2013-10-28;1099.351;897
"668";2013-10-29;1608.301;1249
"669";2013-10-30;2073.558;1413
"670";2013-10-31;1679.23;1969
"671";2013-11-01;998.604;1143
"672";2013-11-02;274.472;274
"673";2013-11-03;6.668;0
"674";2013-11-04;16.962;0
"675";2013-11-05;993.846;883
"676";2013-11-06;1207.618;1058
"677";2013-11-07;1276.822;1395
"678";2013-11-08;1312.16;1291
"679";2013-11-09;392.076;278
"680";2013-11-10;8.296;2
"681";2013-11-11;19.382;0
"682";2013-11-12;1113.505;917
"683";2013-11-13;1344.158;1228
"684";2013-11-14;1368.14;1334
"685";2013-11-15;1358.395;1394
"686";2013-11-16;384.468;314
"687";2013-11-17;8.132;0
"688";2013-11-18;851.773;883
"689";2013-11-19;1123.956;1157
"690";2013-11-20;1442.957;1301
"691";2013-11-21;1281.253;1290
"692";2013-11-22;1398.459;1277
"693";2013-11-23;418.794;354
"694";2013-11-24;7.771;0
"695";2013-11-25;1002.788;957
"696";2013-11-26;1286.659;1307
"697";2013-11-27;1510.876;1439
"698";2013-11-28;1691.113;1389
"699";2013-11-29;2073.028;1656
"700";2013-11-30;667.019;558
"701";2013-12-01;7.583;7
"702";2013-12-02;825.301;792
"703";2013-12-03;1218.527;1064
"704";2013-12-04;1456.09;1170
"705";2013-12-05;1504.118;1313
"706";2013-12-06;1666.849;1433
"707";2013-12-07;493.769;400
"708";2013-12-08;0.215;0
"709";2013-12-09;1178.921;1101
"710";2013-12-10;1515.962;1314
"711";2013-12-11;1663.869;1439
"712";2013-12-12;1685.214;1574
"713";2013-12-13;1855.312;1790
"714";2013-12-14;529.083;450
"715";2013-12-15;10.316;3
"716";2013-12-16;1156.045;1043
"717";2013-12-17;1486.109;1439
"718";2013-12-18;1575.181;1686
"719";2013-12-19;1701.031;1810
"720";2013-12-20;1991.682;1866
"721";2013-12-21;495.482;621
"722";2013-12-22;10.62;1
"723";2013-12-23;1259.259;1591
"724";2013-12-24;1420.041;1168
"725";2013-12-25;39.949;0
"726";2013-12-26;1947.27;1322
"727";2013-12-27;2085.428;2016
"728";2013-12-28;653.982;1043
"729";2013-12-29;15.742;1
"730";2013-12-30;2005.641;1927
"731";2013-12-31;1984.683;428
"732";2014-01-01;14.373;0
"733";2014-01-02;654.525;164
"734";2014-01-03;809.75;289
"735";2014-01-04;241.484;163
"736";2014-01-05;5.015;0
"737";2014-01-06;12.973;0
"738";2014-01-07;778.017;547
"739";2014-01-08;876.682;718
"740";2014-01-09;934.972;627
"741";2014-01-10;1007.406;1269
"742";2014-01-11;275.943;348
"743";2014-01-12;5.619;0
"744";2014-01-13;670.294;854
"745";2014-01-14;833.661;755
"746";2014-01-15;907.573;1223
"747";2014-01-16;916.83;985
"748";2014-01-17;987.567;1113
"749";2014-01-18;261.235;136
"750";2014-01-19;5.672;1
"751";2014-01-20;719.562;634
"752";2014-01-21;780.717;1025
"753";2014-01-22;934.34;1140
"754";2014-01-23;998.686;1052
"755";2014-01-24;943.663;931
"756";2014-01-25;307.55;397
"757";2014-01-26;6.493;1
"758";2014-01-27;753.432;599
"759";2014-01-28;1030.461;1195
"760";2014-01-29;1385.035;1177
"761";2014-01-30;1590.623;1158
"762";2014-01-31;1318.886;1719
"763";2014-02-01;256.072;231
"764";2014-02-02;5.051;6
"765";2014-02-03;677.037;708
"766";2014-02-04;880.577;940
"767";2014-02-05;1021.182;1091
"768";2014-02-06;1105.279;1325
"769";2014-02-07;1196.515;1317
"770";2014-02-08;336.477;351
"771";2014-02-09;7.215;0
"772";2014-02-10;842.298;936
"773";2014-02-11;1006.232;953
"774";2014-02-12;1144.133;1291
"775";2014-02-13;1230.247;1115
"776";2014-02-14;1282.09;1226
"777";2014-02-15;348.333;293
"778";2014-02-16;7.075;0
"779";2014-02-17;825.712;848
"780";2014-02-18;952.598;1030
"781";2014-02-19;1154.871;1075
"782";2014-02-20;1320.674;1085
"783";2014-02-21;1200.668;1188
"784";2014-02-22;358.607;310
"785";2014-02-23;7.707;0
"786";2014-02-24;789.003;861
"787";2014-02-25;1121.489;1123
"788";2014-02-26;1322.05;1321
"789";2014-02-27;1382.837;1476
"790";2014-02-28;1584.749;1770
"791";2014-03-01;264.571;211
"792";2014-03-02;5.218;0
"793";2014-03-03;699.508;660
"794";2014-03-04;909.804;867
"795";2014-03-05;1055.075;1021
"796";2014-03-06;1141.963;1175
"797";2014-03-07;1236.228;1327
